,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
107,0,44,1,1,0,1,3,Blue,5,2,3,14450.0,2440,1.283,1235,0.667,0.169
108,0,62,0,1,99,1,1,Blue,6,0,0,1438.3,0,0.813,1951,1.095,0.0
109,0,54,1,4,99,3,5,Blue,6,3,2,33791.0,1960,0.618,1047,0.824,0.058
110,0,57,1,4,16,1,3,Blue,4,3,0,8466.0,1886,0.56,1342,0.391,0.223
111,0,42,1,3,99,1,3,Blue,5,3,3,15088.0,865,0.939,1107,1.625,0.057
112,0,42,1,4,12,3,3,Blue,5,1,2,3263.0,1674,0.588,1251,0.346,0.513
113,0,54,0,0,0,1,1,Blue,2,2,2,1494.0,706,1.674,1305,3.0,0.473
114,0,48,1,3,16,0,4,Blue,6,1,0,13551.0,1294,0.791,1388,1.056,0.095
115,0,49,1,1,16,0,4,Blue,6,2,2,18886.0,895,1.826,1235,1.571,0.047
116,0,52,1,3,12,9,4,Blue,3,2,0,11976.0,1273,1.024,2089,1.118,0.106
117,0,50,1,3,12,0,4,Blue,4,1,4,9964.0,1559,1.873,1626,0.786,0.156
118,0,49,1,1,22,1,3,Blue,4,6,3,24159.0,1196,0.712,1111,1.0,0.05
119,0,53,0,2,12,1,1,Blue,3,2,3,5362.0,1901,0.816,1553,1.0,0.355
120,0,50,1,2,16,0,5,Blue,3,2,2,34516.0,1023,1.004,1064,0.625,0.03
121,0,55,0,1,22,1,1,Blue,4,1,0,3174.0,1951,0.766,1243,0.611,0.615
122,0,53,1,1,12,1,4,Blue,3,2,2,12262.0,1836,1.584,1659,1.533,0.15
123,0,47,0,3,12,0,2,Blue,4,3,3,3788.0,1540,0.566,1594,0.382,0.407
124,0,55,1,2,15,0,5,Silver,2,3,2,34516.0,1527,0.526,1268,0.355,0.044
125,0,47,1,3,16,0,3,Blue,4,2,2,2926.0,0,0.676,1304,0.846,0.0
126,0,58,1,4,16,0,5,Blue,6,1,0,32090.0,0,0.567,1368,0.364,0.0
127,1,53,1,2,16,1,4,Blue,3,3,2,11669.0,2227,0.622,720,0.353,0.191
128,0,52,1,2,12,0,2,Blue,3,1,2,13532.0,1300,0.846,1521,1.417,0.096
129,0,50,0,1,0,9,1,Silver,4,2,2,11888.0,2090,0.7,1137,0.765,0.176
130,0,42,0,1,16,1,1,Blue,5,1,2,2393.0,1985,0.788,978,0.778,0.83
131,0,43,1,4,99,1,2,Blue,5,1,2,6111.0,2517,0.632,1221,2.2,0.412
132,0,57,1,4,16,1,4,Blue,3,2,3,19270.0,1662,1.186,1565,1.545,0.086
133,0,52,1,1,16,1,4,Blue,3,1,4,3710.0,2517,1.541,1578,0.7,0.678
134,0,47,1,2,22,0,1,Blue,2,1,3,3235.0,797,0.541,1493,1.0,0.246
135,0,44,0,3,16,0,2,Blue,3,1,0,11749.0,788,0.688,1178,0.929,0.067
136,0,53,1,2,12,3,3,Blue,5,3,2,7753.0,2100,0.839,991,0.733,0.271
137,0,45,1,4,15,3,3,Blue,5,1,0,10408.0,1186,1.689,2560,1.211,0.114
138,0,63,0,1,15,1,9,Blue,6,2,3,3967.0,1568,1.236,1657,1.231,0.395
139,0,39,0,2,18,0,1,Blue,4,2,2,6205.0,2517,0.939,1204,0.727,0.406
140,1,48,0,5,12,1,1,Blue,1,3,3,8025.0,0,0.654,673,0.8,0.0
141,0,51,1,1,99,0,5,Blue,6,2,3,9036.0,2327,0.649,1131,0.636,0.258
142,0,54,1,4,16,1,4,Blue,2,3,2,14926.0,2517,1.996,1576,1.5,0.169
143,0,59,0,1,16,0,1,Blue,3,2,3,6335.0,1128,0.397,1217,0.667,0.178
144,1,59,1,1,15,0,3,Blue,2,3,3,14979.0,0,0.71,530,1.0,0.0
145,1,48,0,4,0,1,1,Blue,3,2,3,2732.0,0,0.76,739,0.455,0.0
146,0,41,0,2,16,0,1,Blue,6,3,2,2250.0,2117,1.162,1617,2.875,0.941
147,0,55,1,2,16,1,5,Blue,3,2,0,10916.0,1536,1.317,1592,1.0,0.141
148,0,47,0,4,16,1,9,Blue,4,1,3,5349.0,1228,0.728,1343,1.308,0.23
149,0,41,1,2,12,1,4,Blue,4,1,3,9366.0,1104,0.572,1303,0.625,0.118
150,0,40,1,3,12,0,4,Blue,5,1,0,21617.0,0,1.047,1351,0.467,0.0
151,0,68,1,1,16,1,9,Blue,5,2,3,13860.0,1652,1.255,1910,1.909,0.119
152,0,50,0,1,16,0,2,Silver,2,2,3,18386.0,0,0.868,1298,0.571,0.0
153,0,47,1,4,0,0,3,Blue,6,2,2,2405.0,1540,0.469,1087,1.231,0.64
154,0,53,0,1,15,1,1,Blue,4,2,3,2154.0,930,2.121,1439,1.364,0.432
155,0,42,0,5,99,1,2,Blue,3,3,3,2038.0,0,0.786,1238,0.75,0.0
156,0,48,0,4,12,0,2,Blue,6,1,3,8135.0,0,1.373,1716,0.812,0.0
157,0,49,1,1,22,1,5,Blue,6,1,3,9364.0,618,0.554,1099,0.8,0.066
158,0,44,0,2,0,1,9,Silver,4,3,2,32643.0,0,1.3,1058,2.429,0.0
159,0,43,0,4,16,3,1,Blue,2,3,1,3195.0,1954,0.971,1285,0.706,0.612
160,0,56,1,0,12,1,4,Blue,5,2,1,2852.0,1024,1.009,1651,1.0,0.359
161,0,59,0,1,15,0,9,Blue,2,3,3,4224.0,1305,0.852,1152,0.824,0.309
162,0,46,1,1,0,1,3,Blue,3,2,2,20459.0,2071,1.248,1767,2.167,0.101
163,0,47,0,4,99,3,1,Blue,6,5,3,3482.0,2114,0.508,1039,0.263,0.607
164,0,50,0,4,0,1,2,Blue,5,2,3,3065.0,1570,1.077,1130,1.333,0.512
165,0,51,0,3,0,1,1,Blue,3,1,2,2185.0,1761,0.682,1645,0.429,0.806
166,0,47,0,3,0,1,1,Blue,4,1,0,1611.0,746,0.993,1413,0.706,0.463
167,0,58,0,4,0,1,1,Blue,3,3,3,2822.0,2173,1.456,1218,2.286,0.77
168,1,46,1,5,16,0,4,Blue,6,3,3,32975.0,2517,0.658,597,0.7,0.076
169,0,53,1,3,12,1,3,Blue,5,2,2,1438.3,0,0.776,2184,0.828,0.0
170,0,45,0,4,0,3,9,Blue,4,3,3,15875.0,1719,0.86,1592,1.467,0.108
171,0,52,0,1,12,1,1,Blue,6,3,3,6703.0,893,0.567,1388,0.75,0.133
172,1,53,1,2,99,1,4,Blue,2,2,1,3212.0,0,0.713,757,0.25,0.0
173,0,50,1,2,12,1,4,Silver,3,1,3,34516.0,1260,0.588,1504,0.789,0.037
174,0,41,0,3,12,1,2,Blue,4,1,2,9797.0,1434,0.644,1503,0.478,0.146
175,0,45,0,5,16,3,2,Blue,5,2,2,10400.0,1777,0.791,1105,0.867,0.171
176,0,53,1,3,0,1,4,Blue,2,1,2,26792.0,1836,1.432,2398,0.88,0.069
177,0,67,0,1,16,1,1,Blue,4,3,2,3006.0,2517,2.053,1661,1.0,0.837
178,0,57,0,2,0,0,2,Silver,6,3,0,19482.0,1072,0.706,1421,1.444,0.055
179,0,59,0,1,0,1,2,Blue,4,2,3,3356.0,985,0.35,999,0.556,0.294
180,0,45,1,2,0,1,2,Blue,3,2,1,5771.0,2248,1.791,1387,0.8,0.39
181,0,51,1,3,16,1,4,Blue,6,2,3,11106.0,2107,0.948,1243,1.0,0.19
182,0,59,0,1,0,1,1,Blue,5,3,0,2890.0,2001,1.334,1860,1.0,0.692
183,0,53,1,1,16,1,3,Blue,6,2,2,3380.0,1701,0.747,1502,1.273,0.503
184,0,47,1,3,16,1,3,Blue,2,1,2,21331.0,1251,0.949,1460,1.083,0.059
185,0,49,0,3,0,0,9,Blue,6,2,1,12860.0,0,0.646,1348,0.286,0.0
186,0,49,1,3,18,0,4,Blue,3,1,0,6278.0,462,1.161,1087,0.941,0.074
187,0,60,0,0,15,0,1,Blue,5,1,3,1438.3,738,0.782,1226,0.571,0.513
188,0,50,0,2,12,1,1,Blue,5,1,2,9355.0,1626,0.701,1230,0.867,0.174
189,0,41,0,2,18,1,9,Blue,6,1,3,20758.0,0,0.688,1555,0.684,0.0
190,0,57,1,1,16,1,4,Blue,5,3,1,14612.0,1976,1.768,1827,3.0,0.135
191,0,43,1,4,16,9,4,Blue,5,2,0,27259.0,0,0.731,1376,0.591,0.0
192,0,57,0,3,16,1,1,Blue,4,2,3,6347.0,1594,0.896,1771,0.762,0.251
193,0,54,1,3,22,1,5,Blue,3,3,0,21592.0,1676,1.097,1873,0.529,0.078
194,0,51,0,5,18,1,1,Blue,5,1,1,3449.0,1598,0.971,1679,0.556,0.463
195,0,47,0,3,12,1,1,Blue,2,1,2,6028.0,799,0.819,1002,0.571,0.133
196,0,41,1,0,12,9,5,Blue,3,2,3,18214.0,1998,0.829,1344,1.1,0.11
197,0,53,1,3,0,1,4,Blue,3,3,1,16393.0,1423,1.642,1461,0.75,0.087
198,1,68,1,0,12,1,1,Blue,1,3,2,1438.3,900,0.743,760,0.615,0.626
199,0,59,1,1,15,1,3,Blue,4,1,2,7871.0,1687,1.242,1428,1.444,0.214
200,0,48,1,4,99,1,4,Blue,5,3,0,5288.0,866,0.869,1777,0.75,0.164
201,0,44,1,5,16,1,3,Blue,4,5,3,11376.0,2006,0.619,1302,0.8,0.176
202,0,48,1,3,15,1,4,Blue,4,5,3,12302.0,1632,1.509,1483,0.519,0.133
203,0,47,1,4,16,1,3,Silver,3,2,1,34516.0,1679,0.623,1060,0.5,0.049
204,0,47,1,2,16,1,3,Silver,4,2,2,34516.0,1468,0.505,1330,0.684,0.043
205,0,43,0,1,12,3,1,Silver,3,2,2,10514.0,1580,0.504,1229,0.8,0.15
206,1,55,0,2,16,1,1,Blue,2,4,3,1438.3,0,0.707,886,0.421,0.0
207,1,59,1,2,18,1,3,Blue,3,3,3,1438.3,0,0.688,844,0.5,0.0
208,0,63,1,1,16,1,2,Blue,2,1,2,2619.0,1779,1.259,1450,0.947,0.679
209,0,58,1,2,15,1,5,Blue,2,3,0,24407.0,2395,1.071,2311,0.714,0.098
210,0,53,0,2,12,1,1,Blue,4,1,2,2377.0,1649,0.93,1378,1.167,0.694
211,0,59,1,0,99,9,4,Silver,3,2,3,34516.0,1359,1.327,1033,1.364,0.039
212,0,52,1,3,16,1,5,Blue,5,3,3,11086.0,2207,0.869,1523,1.105,0.199
213,0,48,1,3,12,0,3,Blue,4,2,2,11432.0,2517,0.615,1374,0.762,0.22
214,0,43,1,4,12,1,2,Blue,5,3,2,13258.0,1721,0.908,1080,1.333,0.13
215,0,48,1,2,15,0,1,Blue,3,2,3,2571.0,1955,0.531,1234,0.714,0.76
216,0,43,0,4,16,0,1,Blue,5,2,0,5781.0,1168,0.638,1600,0.455,0.202
217,0,44,1,4,99,1,3,Blue,5,1,2,7872.0,2509,0.971,1155,0.882,0.319
218,0,41,1,3,12,1,4,Blue,6,1,2,34516.0,1202,0.603,1353,0.737,0.035
219,0,44,0,3,0,3,1,Silver,4,1,3,11127.0,1835,2.368,1546,1.273,0.165
220,0,50,1,2,99,0,2,Blue,2,1,3,1857.0,1603,0.579,1590,1.263,0.863
221,0,60,0,1,0,1,1,Blue,5,1,0,1913.0,1272,1.008,1448,1.0,0.665
222,0,44,1,4,16,0,4,Blue,5,3,0,3839.0,2295,0.569,1271,0.714,0.598
223,0,48,0,3,16,3,2,Blue,6,2,3,2115.0,1141,0.616,1223,0.538,0.539
224,0,44,0,2,16,3,1,Blue,5,2,2,1438.3,679,0.859,1117,1.071,0.472
225,0,41,1,2,12,0,4,Blue,4,3,0,27756.0,1789,0.75,994,0.846,0.064
226,0,45,1,3,15,0,3,Blue,4,1,2,1438.3,0,0.81,1468,0.625,0.0
227,0,47,0,2,0,3,1,Silver,6,4,2,13878.0,2222,0.853,1658,0.357,0.16
228,0,51,0,2,16,1,1,Blue,3,1,3,3106.0,1304,0.604,1368,0.407,0.42
229,0,51,1,2,16,1,5,Blue,4,3,3,34516.0,1666,0.613,1218,0.8,0.048
230,1,60,0,1,0,1,2,Blue,4,4,3,1438.3,1025,0.838,702,0.714,0.713
231,0,57,1,2,99,1,4,Blue,2,3,0,18871.0,1740,1.727,1516,2.0,0.092
232,0,41,1,5,16,0,5,Blue,5,2,2,5207.0,1748,1.073,1310,1.0,0.336
233,0,44,1,3,18,3,4,Blue,6,2,2,17965.0,1644,0.921,1767,0.923,0.092
234,0,43,1,1,15,0,3,Blue,6,3,3,2733.0,1819,0.767,933,0.923,0.666
235,0,55,1,2,15,1,3,Blue,4,3,2,8863.0,1301,1.207,1512,1.455,0.147
236,1,52,1,1,0,1,4,Blue,2,3,3,1857.0,1833,0.723,829,0.7,0.987
237,0,44,1,3,16,9,4,Blue,3,3,3,34516.0,0,0.483,1120,0.35,0.0
238,0,41,1,2,0,1,2,Blue,5,3,3,11107.0,1222,0.538,1506,0.941,0.11
239,0,44,1,4,99,0,4,Blue,4,1,2,21573.0,1585,0.621,1384,2.273,0.073
240,1,53,0,2,99,1,1,Blue,2,3,3,2859.0,2517,0.993,817,0.667,0.88
241,0,39,1,2,12,0,4,Blue,4,2,2,5269.0,1475,1.148,2094,0.667,0.28
242,1,49,1,5,15,1,2,Blue,2,2,3,1438.3,0,0.734,815,0.615,0.0
243,1,45,0,2,15,1,1,Blue,1,3,2,3387.0,0,0.789,510,0.6,0.0
244,0,54,1,2,16,1,4,Blue,6,2,3,1982.0,1289,0.939,1377,0.69,0.65
245,0,49,1,3,0,0,4,Blue,2,2,2,4645.0,1650,0.912,1193,0.65,0.355
246,0,46,0,3,22,0,9,Blue,6,3,2,2189.0,1666,0.343,1287,0.636,0.761
247,1,46,1,4,12,1,5,Blue,3,3,3,2442.0,0,0.98,701,0.727,0.0
248,0,47,1,3,16,1,3,Blue,4,1,2,21304.0,1532,1.018,1770,0.923,0.072
249,0,44,1,2,22,0,3,Blue,5,1,2,7577.0,2480,0.435,1409,0.167,0.327
250,0,50,1,3,18,0,5,Blue,4,1,2,3234.0,1486,0.868,1354,0.647,0.459
251,0,73,1,0,12,1,2,Blue,5,3,2,4469.0,1125,1.363,1765,1.615,0.252
252,0,56,1,3,99,9,2,Blue,6,3,4,2910.0,709,0.538,1192,0.588,0.244
253,1,59,1,0,12,0,2,Blue,2,4,3,3616.0,1054,0.616,687,0.545,0.291
254,0,70,1,0,12,1,1,Blue,3,2,3,3252.0,1495,0.581,1227,0.875,0.46
255,0,55,0,2,12,1,1,Blue,4,3,3,2358.0,1152,0.969,1737,1.6,0.489
256,0,43,1,4,99,0,3,Blue,4,1,0,22322.0,953,0.769,1348,1.125,0.043
257,0,45,1,1,0,0,5,Blue,4,2,2,3133.0,1510,0.609,1435,0.462,0.482
258,0,45,0,2,0,0,2,Blue,2,3,0,3540.0,849,0.456,1321,0.75,0.24
259,0,40,1,1,16,1,2,Blue,6,3,2,6990.0,1378,0.73,1479,0.611,0.197
260,0,36,1,2,15,9,4,Blue,2,2,3,34516.0,1652,0.854,1283,1.294,0.048
261,1,59,0,0,18,1,2,Blue,1,4,1,1438.3,0,1.038,689,0.353,0.0
262,0,43,1,4,99,1,3,Blue,6,3,2,24396.0,1171,0.655,965,1.125,0.048
263,0,46,0,1,99,1,1,Blue,2,3,2,2474.0,2143,1.53,1541,1.0,0.866
264,0,41,1,2,0,1,2,Blue,5,1,3,5214.0,795,0.707,1258,1.3,0.152
265,0,51,0,2,16,1,1,Blue,5,2,2,5207.0,1650,0.708,1339,0.538,0.317
266,0,51,0,3,99,9,1,Blue,2,2,2,9512.0,1082,0.701,1007,1.444,0.114
267,0,43,0,4,16,3,9,Blue,6,3,2,3187.0,2430,0.617,1387,1.357,0.762
268,1,64,0,0,12,1,2,Blue,1,3,3,3353.0,0,1.021,960,0.385,0.0
269,0,54,1,5,16,1,3,Blue,3,3,3,2290.0,1434,0.923,1119,3.5,0.626
270,0,48,1,3,99,0,2,Blue,6,1,3,5279.0,1115,0.549,1642,0.519,0.211
271,0,40,1,2,0,3,3,Blue,5,3,0,23603.0,0,0.795,1382,1.067,0.0
272,0,57,1,0,0,1,2,Blue,6,2,2,2601.0,0,0.814,1232,0.684,0.0
273,0,45,1,4,16,0,4,Blue,4,3,0,6363.0,1029,0.838,1542,1.286,0.162
274,0,41,1,3,12,0,4,Blue,4,3,3,8029.0,1576,0.826,1094,0.524,0.196
275,0,42,0,4,0,1,1,Blue,2,2,2,2410.0,1769,0.759,1217,1.143,0.734
276,1,45,1,2,16,0,3,Blue,1,1,2,3401.0,0,0.898,744,1.0,0.0
277,0,42,0,4,0,1,1,Blue,4,2,0,2260.0,1007,0.84,1614,0.737,0.446
278,0,47,1,4,0,3,4,Blue,5,2,2,17682.0,2481,1.302,1747,1.214,0.14
279,0,48,0,4,12,1,2,Blue,3,1,3,4206.0,1100,0.587,1144,1.0,0.262
280,0,43,1,1,16,0,4,Silver,4,3,2,34516.0,1440,1.117,1575,2.4,0.042
